"1";"CONFIRMED$";"";"49"
"2";"\buna(s?)\b";"";"19"
"3";"\b[a-z]+\.";"";"176"
"4";"¿[a-z]+?\?";"";"2"
"5";"¡[B-Z][b-z]*?!";"";"2"
"6";"^[A-Z-]+?:";"";"757"
"7";" [a-z]*y[a-z]* ";"";"84"
"8";"[a-zA-Z0-9\-]+@([a-z]+\.)+[a-z]+";"";"50"
"9";"\b\p{L}{1,3}\.";"";"51"
"10";"[a-zA-Z0-9\-]{20,}+@([a-z]+\.)+[a-z]+";"";"46"
"11";"\bVERSION:\d\.\d";"";"1"
"12";"\d*[02468]$";"";"61"
"13";"\d{4}(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])";"";"255"
"14";"\d{4}(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])T(2[0-3]|[0-1][0-9])([0-5][0-9])([0-5][0-9])Z?";"";"171"
"15";"\d{4}(0[1-9]|1[0-2])\1";"";"5"
"16";"\d{3}[13579](0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])";"";"166"
"17";"[-,+]?\d+\.\d+;[-,+]?\d+\.\d+";"";"2"
"18";"^SEQUENCE:\d*[\d-[02468]]";"";"45"
"19";"[^T]\d{3,}$";"";"135"
"20";"\b(\d)(\d)\2\1\b";"";"42"
"21";"^SUMMARY:[^.\n]+\.(\.\.|[^.\n]+\.?)$";"";"6"
"22";"^SUMMARY:\p{Lu}.*$";"";""47
"23";"^SUMMARY:.*(¿.*\?|¡.*!).*$";"";"2"
"24";"DTSTART:\d{4}(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])T(2[0-3]|[0-1][0-9])([0-5][0-9])([0-5][0-9])Z?\nDTEND:\d{4}(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])T(2[0-3]|[0-1][0-9])([0-5][0-9])([0-5][0-9])Z?";"";"9"
"25";"BEGIN:VEVENT(?!\nEND:VEVENT)(.|\n|\r)*?END:VEVENT";"";"51"
"26";"BEGIN:VEVENT\n+?END:VEVENT";"";"1"
"27";"BEGIN:VEVENT(?!\nEND:VEVENT)(.|\n|\r)*?END:VEVENT\nBEGIN:VEVENT(?!\nEND:VEVENT)(.|\n|\r)*?END:VEVENT";"";"25"
"28";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?\nDESCRIPTION:.*?\d{2,}.*?(.|\n)*?END:VEVENT";"";"43"
"29";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT)){12,}(\n.+?)\nEND:VEVENT";"";"35"
"30";"BEGIN:VEVENT((?<!END:VEVENT\n)(\n|.)){100,450}END:VEVENT";"";"10"
"31";"(\d)\d{1,}\1";"";"722"
"32";"VERSION:(\d+)\.(\d+)";"VERSION:sub \2 de ver \1";"1"
"33";"(\d{4})(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])";"\1;\2;\3";"255"
"34";"(\p{L}+),(\p{L}+)";"\1, \2";"12"
"35";"(\p{Ll})[áéíóú]";"\1\1";"267"
"36";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?\nDTSTART:(.+)(.|\n|\r)*?END:VEVENT";"BEGIN:VEVENT\n\3\nEND:VEVENT";"51"
"37";"(?is)confirmed";"CONFIRMED";"49"
"38";"(\d{4})(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])T(2[0-3]|[0-1][0-9])([0-5][02468])([0-5][0-9])(Z)?";"\1\2\3T\4\5--\7";"28"
"39";"([^.])\.\1";"";"2"
"40";"\d{4}(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])T((2)[0-3]|([0-1])[0-9])\3((\4|\5)[0-9])Z?";"";"2"
"41";"(?<=SUMMARY:.*?)(\b\p{Lu}\p{Ll}+)";"";"117"
"42";"(?<=UID:).*(?=@google\.com)";"";"8"
"43";"(?<=DTSTAMP:)(\d{4})(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1])T(2[0-3]|[0-1][0-9])([0-5][0-9])([0-5][0-9])Z?";"\3/\2/\1 \4:\5:\6";"51"
"44";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?(?<=\nSEQUENCE:)\d*[1-9]\d*(\n.+?)*?\nEND:VEVENT";"";"46"
"45";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?(?<=\nLOCATION:)Lab(1\.[0-7]|2\.[0-8])(\n.+?)*?\nEND:VEVENT";"";"2"
"46";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?\nDTSTART:(\d{4}(0[1-9]|1[0-2])(0[1-9]|[1-2]\d|3[0-1]))T(2[0-3]|[0-1][0-9])([0-5][0-9])([0-5][0-9])Z?\nDTEND:\3T(2[0-3]|[0-1][0-9])\7([0-5][0-9])Z?(\n.+?)*?\nEND:VEVENT";"";"4"
"47";"(?<=BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?(?<=\nLOCATION:)Lab(1\.[0-7]|2\.[0-8])(\n.+?)*?\nSTATUS:)(TENTATIVE)(?=(\n.+)*?\nEND:VEVENT)";"CONFIRMED";"2" 		
"48";"(BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?\nDESCRIPTION:)((.{1,20}).*)(((\n.+?)(?!\nEND:VEVENT))*?)(\nSUMMARY:)(\n(.|\n)*?END:VEVENT)";"\1\4\6\9\5...\10";"1"
"49";"^.+?(?<=:)((?<!^(END:|BEGIN:|DTSTART:|DTEND:|SUMMARY:|LOCATION:))(.*\n))";"";"460"
"50";"BEGIN:VEVENT(?!\nEND:VEVENT)((\n.+?)(?!\nEND:VEVENT))*?\nCLASS:PRIVATE(\n.+)*?\nEND:VEVENT\n";"";"3"